tiago ribeiro,x
sou BancoC amando,p
continua ignorando pessoas sistema windowsmobile fiz produtoA prometido app sistema chegou deixei usar,n
conta aberta porem recebi cartao debito limite BancoB poxa,n
entendi forma colocada meio confuso,n
quase meses conta nota parabens sucesso souBancoC,p
joao lucas martines,x
convite chega,p
melhor banco tive ate hoje BancoC nao preco,p
marcos dias,x
pedro,x
bom espero abertura conta,p
conseguindo solicitacao aparece app recebi convite cadastrei,n
gustavo marco,x
amooooo diogo nogueira,p
chegou cartao afim desbloquea debito serventia melhor fica inter contar anuidade cinco meses cartao funcao credito serventia,n
conta BancoC aprovada hoje horas apos cadastro cartao chega tempo conhecer arena BancoC,p
quero nao melhor brasil bom diogo nogueira,p
casa conversamo,x
ok obrigado ligado merchandising filme,x
humildade pura,x
silverio dourado santos,x
falar exato comecar aprovacao contas ansioso,n
pessoal nao liberacao cartao credito saindo banco bancoTA justamente devido falta credito negocio recebimentos pagamentoSeguro bandeiracartao ambos configurei cai banco BancoC nao credito melhor voltar banco onde preciso voces analise conta veja valores entra boletos agendados pagamento,n
berrando,x
steh,x
lindo maravilhoso contas saem saem,p
obrigada ctza,x
cliente produtoA sou cliente fintechCartao acho status banco poderao agregando produtos fintechCartao banco cartao credito caso BancoA conta corrente possibilidades transferencia pagamentos etc proposta jovem app otima herdou produtoA objetivos ajuda pessoa economizar investir dinheiro proposta diferente medir padroes tivemos disponiveis acredito futuro possam abrir cartao credito etc leva tempo menos proposta burocratica cara BancoC,n
acho semana,x
confiavel,p
neyto silva john santoles entendi beber case voltar pensando caras vao aparecer paulo pow,x
melhor banco existente brasil atualmente parabens atendimento absurda qualidade tecnologia ponta souBancoC,p
acabando,x
marido abriu conta nesse banco cartao chegou nao enviaram senha sabe aconteceu central atendimento enviou mensagem inbox nao teve qualquer resposta nao recomendo abertura conta neste banco atendimento pessimo,n
BancoB abri conta recebi cartao quero saber funciona aplicacao rendimentos tals,p
realmente alegria ruas,p
asus zenfone android,x
agr restam,x
coracao enche alegria orgulho,p
francine bernardes,x
esperando serelepe aprovacao,p
precisa convite convite apenas facilita processo cartao credito necessario analise perfil convite espera-se pessoas perfis semelhantes convidem aumentando chances aceitacao fintechCartao BancoA servicos diferentes ideias semelhantes,n
carlos henrique vedovato,x
aconteceu enfim pedir cancelar,n
banco BancoA fiz cadastro certinho porem dois problemas foto rg foca   sai embacada cidades possuem cep cep geral nesse caso app permite finalizar cadastro aceita ceps ruas,n
pq anexei comprovante renda,n
canso lorruanah santos,x
isabella,x
consigo contato chat,n
bora entende,x
baixei aplicativo ok mandei docs ok esperei resposta abrir conta veio email telefone opiniao pessimo servico prestado,n
show bola ideia havia comentado produtoA faltava cartao chip parece escutaram preces BancoA futuro,p
quero hoje,p
bom adorei mil bjos,p
desisto,n
